guessed_trade_name,parent_brand,product_count,sample_product,confidence,linking_method,,
Wosulin,Unlinked,23,Wosulin 200iu 30 70 3ml Cartridge Inj,LOW,None,,
Actiflash,Unlinked,23,Actiflash Abdominal Support Blue Size L,LOW,None,,
Glycilarc,Unlinked,23,Glycilarc 1000mg Tab,LOW,None,,
Sitahenz,Unlinked,23,Sitahenz 100mg Tab,LOW,None,,
Telista,Unlinked,23,Telista 20mg Tab,LOW,None,,
Telsar,Unlinked,23,Telsar 20mg Tab,LOW,None,,
Acne,Unlinked,22,Acne Uv Spf 30 Pa,LOW,None,,
Centrum,Unlinked,22,Centrum Kids Multivitamin And Protein Chocolate Flavour 200gm Bib,LOW,None,,
Hit,HIT,22,Hit Rat Cake Hit,HIGH,Exact Parent Brand Match,,
Pregabid,Unlinked,22,Pregabid 150mg Cap,LOW,None,,
Razel,Unlinked,22,Razel A 20mg Cap,LOW,None,,
Rozucor,Unlinked,22,Rozucor Asp 10 Forte Cap,LOW,None,,
Sinarest,Unlinked,22,Sinarest Vapocaps Cap,LOW,None,,
La,Unlinked,22,La Matisse Repair And Rescue 100gm Conditioner La,LOW,None,,
Dimpu,Unlinked,22,Dimpu Poop Cee Soother With Cover,LOW,None,,
Spinz,Unlinked,22,Spinz Bb Fairness 15gm Cream,LOW,None,,
Monocef,Unlinked,22,Monocef O 10ml Oral Drops,LOW,None,,
Medplus,Unlinked,22,Medplus Absorbent Cotton Wool 15gm,LOW,None,,
Closeup,Closeup,22,Closeup Deep Action Eucalyptus Mint Toothpaste 80gm,HIGH,Exact Parent Brand Match,,
Navratna,Navratna,22,Navratna Cool Active Deo 100 Gm,HIGH,Exact Parent Brand Match,,
Envy,Unlinked,22,Envy Dark Body Spray 18ml,LOW,None,,
Eritel,Unlinked,22,Eritel 20mg Tab,LOW,None,,
Glucoryl,Unlinked,22,Glucoryl 1mg Tab,LOW,None,,
Thyrox,Unlinked,22,Thyrox 100mcg 100s Tab,LOW,None,,
Lactogen,Unlinked,21,Lactogen Pro 1 3 X 400gm Bib,LOW,None,,
Gatsby,Unlinked,21,Gatsby Styling Gel 75gm Hard Blue,LOW,None,,
Dentoshine,Unlinked,21,Dentoshine Easy Grip Tooth Brush,LOW,None,,
Global,Unlinked,21,Global Joints Cap,LOW,None,,
Kapiva,Himalaya Wellness,21,Kapiva Ashwagandha Gold 60s Cap,MEDIUM,URL Manufacturer Slug,,
Tonact,Lupin,21,Tonact Asp 150mg Cap,HIGH,Verified Pharma Trade DB,,
Ethicon,Unlinked,21,Ethicon 6 Nw 872 60cm,LOW,None,,
